Macro,Sector,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
DXY,Nifty_FMCG_Return,-0.10952581831454852,0.1502459803232771,-0.07087921318748855,0.3526861795167952
DXY,Nifty_Metal_Return,-0.019014456486061534,0.8033355742674035,-0.002601448223047145,0.9728227840888743
DXY,Nifty_Realty_Return,-0.023170343472329397,0.7615274349570527,0.009462710961942067,0.9013748031346679
DXY,Nifty_Energy_Return,-0.01847803120623613,0.808775668572525,0.0071232299417411755,0.9256765264260717
DXY,Nifty_Infra_Return,-0.0015867127900865766,0.9834216848940407,0.047967333828987505,0.5296542150374245
DXY,Nifty_PSE_Return,0.016231777505045474,0.831652554104482,0.05336385820762033,0.4843380248767809
DXY,Nifty_Media_Return,-0.15623940061904662,0.039518664753893554,-0.15771564599182933,0.03766854283531091
Global_VIX,Nifty_50_Return,-0.30094140339929,5.4597907261066126e-05,-0.24310384005248872,0.0012280812974693554
Global_VIX,Nifty_Bank_Return,-0.25086819454155707,0.0008411565322264679,-0.1879345604461281,0.01301614595472813
Global_VIX,Nifty_IT_Return,-0.1733014194830672,0.022204141955985232,-0.15010299321188014,0.04804862158556465
Global_VIX,Nifty_Pharma_Return,-0.07538866612700615,0.3228173520785181,-0.12778105870467588,0.0929001057926774
Global_VIX,Nifty_Auto_Return,-0.23960364873245735,0.001450927443305253,-0.15624442962696566,0.039512234603225636
Global_VIX,Nifty_FMCG_Return,-0.1679404620033418,0.026754840101458982,-0.15047658207392542,0.047488726179129206
Global_VIX,Nifty_Metal_Return,-0.23819265548141072,0.0015507709814314827,-0.18765209081872802,0.013155679314987703
Global_VIX,Nifty_Realty_Return,-0.22421540822382227,0.002937065220459902,-0.1758885976260346,0.020257949108627337
Global_VIX,Nifty_Energy_Return,-0.20281254466960935,0.007275794550158812,-0.1755070358309579,0.02053536012111558
Global_VIX,Nifty_Infra_Return,-0.24141285895604486,0.001331503187848315,-0.17111850569235912,0.023969563309823687
Global_VIX,Nifty_PSE_Return,-0.2424584141503472,0.0012666556935955926,-0.1956557765918745,0.009672277406821403
Global_VIX,Nifty_Media_Return,-0.2284811895485071,0.0024264547536733856,-0.16016255671670862,0.034762918104974845
